Index,Timestamp_US,RSSI,Smoothed_RSSI
987,66191659,-49,-49
988,66191759,-49,-49
989,66191859,-49,-49
990,66191959,-49,-49
991,66192059,-49,-49
992,66192159,-49,-49
993,66192259,-49,-49
994,66192359,-49,-49
995,66192459,-49,-49
996,66192559,-49,-49
997,66192659,-49,-49
998,66192759,-49,-49
999,66192859,-49,-49
1000,66192959,-49,-49
1001,66193059,-49,-49
1002,66193159,-49,-49
1003,66193259,-49,-49
1004,66193359,-49,-49
1005,66193459,-49,-49
1006,66193559,-49,-49
1007,66193659,-49,-49
1008,66193759,-49,-49
1009,66193859,-49,-49
1010,66193959,-49,-49
1011,66194059,-49,-49
1012,66194159,-49,-49
1013,66194259,-49,-49
1014,66194359,-49,-49
1015,66194459,-49,-49
1016,66194559,-49,-49
1017,66194659,-49,-49
1018,66194759,-49,-49
1019,66194859,-49,-49
1020,66194959,-49,-49
1021,66195059,-49,-49
1022,66195159,-49,-49
1023,66195259,-49,-49
1024,66195359,-49,-49
1025,66195459,-49,-49
1026,66195559,-49,-49
1027,66195659,-49,-49
1028,66195759,-49,-49
1029,66195859,-49,-49
1030,66195959,-49,-49
1031,66196059,-49,-49
1032,66196159,-49,-49
1033,66196259,-49,-49
1034,66196359,-49,-49
1035,66196459,-49,-49
1036,66196559,-49,-49
1037,66196659,-49,-49
1038,66196759,-49,-49
1039,66196859,-49,-49
1040,66196959,-49,-49
1041,66197059,-49,-49
1042,66197159,-49,-49
1043,66197259,-49,-49
1044,66197359,-49,-49
1045,66197459,-49,-49
1046,66197559,-49,-49
1047,66197659,-49,-49
1048,66197759,-49,-49
1049,66197859,-49,-49
1050,66197959,-49,-49
1051,66198059,-49,-49
1052,66198159,-49,-49
1053,66198259,-49,-49
1054,66198359,-49,-49
1055,66198459,-49,-49
1056,66198559,-49,-49
1057,66198659,-49,-49
1058,66198759,-49,-49
1059,66198859,-49,-49
1060,66198959,-49,-49
1061,66199059,-49,-49
1062,66199159,-49,-49
1063,66199259,-49,-49
1064,66199359,-49,-49
1065,66199459,-49,-49
1066,66199559,-49,-49
1067,66199659,-49,-49
1068,66199759,-49,-49
1069,66199859,-49,-49
1070,66199959,-49,-49
1071,66200059,-49,-49
1072,66200159,-49,-49
1073,66200259,-49,-49
1074,66200359,-50,-49
1075,66200459,-49,-49
1076,66200559,-49,-49
1077,66200659,-49,-49
1078,66200759,-49,-49
1079,66200859,-49,-49
1080,66200959,-50,-49
1081,66201059,-49,-49
1082,66201159,-49,-49
1083,66201259,-49,-49
1084,66201359,-49,-49
1085,66201459,-49,-49
1086,66201559,-49,-49
1087,66201659,-49,-49
1088,66201759,-49,-49
1089,66201859,-49,-49
1090,66201959,-49,-49
1091,66202059,-49,-49
1092,66202159,-49,-49
1093,66202259,-49,-49
1094,66202359,-49,-49
1095,66202459,-49,-49
1096,66202559,-49,-49
1097,66202659,-49,-49
1098,66202759,-49,-49
1099,66202859,-49,-49
1100,66202959,-49,-49
1101,66203059,-49,-49
1102,66203159,-49,-49
1103,66203259,-49,-49
1104,66203359,-49,-49
1105,66203459,-49,-49
1106,66203559,-49,-49
1107,66203659,-49,-49
1108,66203759,-49,-49
1109,66203859,-49,-49
1110,66203959,-49,-49
1111,66204059,-49,-49
1112,66204159,-49,-49
1113,66204259,-49,-49
1114,66204359,-49,-49
1115,66204459,-49,-49
1116,66204559,-49,-49
1117,66204659,-49,-49
1118,66204759,-49,-49
1119,66204859,-49,-49
1120,66204959,-49,-49
1121,66205059,-49,-49
1122,66205159,-49,-49
1123,66205259,-49,-49
1124,66205359,-49,-49
1125,66205459,-49,-49
1126,66205559,-49,-49
